지점,지점명,일시,최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위)
108,서울,2020-09-27,5.6,320,1804,3.9,320,1808,2,1731,50
108,서울,2020-09-28,6.1,250,1454,3.6,270,1704,2,1733,50
108,서울,2020-09-29,6.8,250,1148,4.3,290,1216,1.9,1614,290
108,서울,2020-09-30,6,250,1849,4.1,250,1848,1.7,1509,20
108,서울,2020-10-01,8.7,200,1714,4.7,230,1705,2.1,1781,50
108,서울,2020-10-02,9.7,180,1030,5.2,180,1034,2.3,1959,180
108,서울,2020-10-03,5.6,270,1518,3.6,270,1522,1.6,1379,270
108,서울,2020-10-04,13.7,320,1802,7.2,320,1803,2.8,2427,270
108,서울,2020-10-05,10,320,1524,5.1,290,1352,2.5,2181,270
108,서울,2020-10-06,7.8,250,1124,4.1,290,1114,2,1746,290
108,서울,2020-10-07,7.1,160,1350,3.4,50,1359,1.9,1673,50
108,서울,2020-10-08,9.7,50,1723,5.4,50,1729,3.1,2648,50
108,서울,2020-10-09,9.5,110,1240,5.2,50,1518,3,2561,70
108,서울,2020-10-10,6.8,110,920,3.8,20,1116,2,1749,70
108,서울,2020-10-11,6.6,50,238,4.1,50,244,1.8,1594,50
108,서울,2020-10-12,7.5,200,1523,4.6,250,1544,2.2,1912,250
108,서울,2020-10-13,8,320,1315,4.7,270,1319,2.2,1911,270
108,서울,2020-10-14,9.4,250,1413,5.8,270,1500,2.4,2052,290
108,서울,2020-10-15,5.5,290,39,3.7,270,47,1.5,1284,50
108,서울,2020-10-16,3.9,290,1328,2.5,50,754,1.5,1320,50
108,서울,2020-10-17,7.2,250,1528,4.3,270,1353,1.8,1595,270
108,서울,2020-10-18,7.1,270,1507,3.9,290,1529,2,1746,20
108,서울,2020-10-19,6,250,1522,3.4,250,1655,1.7,1457,20
108,서울,2020-10-20,4.9,290,1434,3.1,250,1438,1.6,1341,20
108,서울,2020-10-21,6.2,180,1504,3.8,160,1511,1.9,1653,50
108,서울,2020-10-22,10.4,340,2020,5.7,320,2028,2.8,2436,50
108,서울,2020-10-23,10,270,1337,5.5,290,1321,3,2566,270
108,서울,2020-10-24,11,290,1242,5.9,290,1212,2.5,2150,270
108,서울,2020-10-25,6.3,250,1123,3.8,250,1318,1.7,1483,20
108,서울,2020-10-26,6.7,290,1409,4.4,320,1417,1.6,1406,20
108,서울,2020-10-27,5.7,290,1411,3.4,320,1516,1.8,1573,270
108,서울,2020-10-28,9.1,320,1449,4.8,270,1507,2.5,2196,270
108,서울,2020-10-29,7.2,340,112,4.5,320,104,2,1694,270
108,서울,2020-10-30,5.6,110,1053,3.2,90,1101,1.5,1284,50
108,서울,2020-10-31,10.2,200,1408,5,230,1414,2.6,2235,200
108,서울,2020-11-01,10.8,160,909,4.5,200,808,2.3,1947,200
108,서울,2020-11-02,8.7,290,1452,4.9,250,1455,2.3,2006,270
108,서울,2020-11-03,15.6,290,1155,8.4,290,1156,3.5,3032,270
108,서울,2020-11-04,7.4,250,27,4.2,290,1045,2.3,1965,270
108,서울,2020-11-05,4.5,50,757,3,180,1415,1.8,1559,50
108,서울,2020-11-06,5.3,180,1501,3.3,200,1525,1.7,1478,50
108,서울,2020-11-07,10.1,250,1539,4.9,270,1539,2.7,2349,230
108,서울,2020-11-08,12,340,1948,6.2,320,1950,3.1,2636,270
108,서울,2020-11-09,6.9,290,1050,4,290,1046,1.8,1562,270
108,서울,2020-11-10,8,250,1550,5,290,1231,2.2,1872,270
108,서울,2020-11-11,4.1,180,1452,2.6,180,1458,1.6,1362,50
108,서울,2020-11-12,6.2,180,1348,3.4,200,1353,1.7,1460,20
108,서울,2020-11-13,4.9,200,1418,3,250,1421,1.6,1421,20
108,서울,2020-11-14,6.7,110,1227,4,110,1248,1.7,1434,50
108,서울,2020-11-15,6.2,290,1424,3.7,290,1143,1.7,1480,20
108,서울,2020-11-16,6.2,70,2222,4.1,50,2304,1.6,1395,50
108,서울,2020-11-17,6.9,50,126,4.5,50,108,2.3,2017,70
108,서울,2020-11-18,6,20,1159,3.6,50,1050,2.6,2233,50
108,서울,2020-11-19,13.4,180,516,7.3,230,834,4.2,3657,270
108,서울,2020-11-20,9.7,320,211,5.6,270,231,3.2,2797,290
108,서울,2020-11-21,8.1,90,1227,4.8,50,450,2.1,1844,50
108,서울,2020-11-22,9.5,290,1822,5.7,290,1823,2.5,2160,270
108,서울,2020-11-23,8,320,245,4.9,320,241,2.3,2023,290
108,서울,2020-11-24,5.3,290,1918,3.8,290,1920,1.8,1558,20
108,서울,2020-11-25,4.9,290,1257,3,290,1323,1.5,1282,270
108,서울,2020-11-26,6.3,320,1813,3.6,340,407,1.7,1488,270
108,서울,2020-11-27,9,270,1437,5.3,250,1218,2.7,2331,270
108,서울,2020-11-28,8.7,290,1258,5.3,290,1304,2.8,2453,290
108,서울,2020-11-29,7.4,290,1923,4.5,290,1426,2.2,1892,270
108,서울,2020-11-30,6.6,250,1324,4.6,290,1301,1.9,1683,270
108,서울,2020-12-01,6.1,250,1449,4,250,1415,1.9,1644,290
108,서울,2020-12-02,5.6,290,1500,3.9,290,1506,1.8,1518,270
108,서울,2020-12-03,8.3,250,1553,4.9,320,2055,2.7,2333,290
108,서울,2020-12-04,6.8,270,1532,4.3,250,1535,1.8,1558,290
108,서울,2020-12-05,6.3,290,1258,3.9,320,1234,1.7,1506,20
108,서울,2020-12-06,7.7,270,1505,4.3,270,1507,1.8,1539,50
108,서울,2020-12-07,10.2,340,1555,5.6,290,1314,2.6,2206,270
108,서울,2020-12-08,6.3,320,132,3.9,320,820,2,1711,320
108,서울,2020-12-09,4.6,50,833,3,50,842,1.5,1308,50
108,서울,2020-12-10,6.5,180,1505,3.5,250,1451,1.7,1451,50
108,서울,2020-12-11,7.7,270,1652,4.5,250,1549,1.8,1531,270
108,서울,2020-12-12,8.7,290,1451,4.8,290,1457,2.1,1798,270
108,서울,2020-12-13,11.4,290,1930,6.1,290,1833,2.9,2529,270
108,서울,2020-12-14,9.8,320,1418,5.3,290,1410,3.4,2953,290
108,서울,2020-12-15,9.1,320,1455,5.2,320,1450,2.8,2394,290
108,서울,2020-12-16,8.3,290,1324,4.6,290,1406,2.6,2258,290
